"Author","year","freq","TC","TCpY"
"CHEN X","2018","1","5","0.714"
"CHEN X","2020","1","0","0.000"
"CHEN X","2021","2","19","4.750"
"CHEN X","2022","3","11","3.667"
"CHEN X","2023","8","14","7.000"
"CHEN Y","2018","1","28","4.000"
"CHEN Y","2019","1","57","9.500"
"CHEN Y","2020","2","8","1.600"
"CHEN Y","2021","2","3","0.750"
"CHEN Y","2022","2","11","3.667"
"CHEN Y","2023","6","4","2.000"
"LEE H-C","2018","3","337","48.143"
"LEE H-C","2019","1","19","3.167"
"LEE H-C","2020","1","23","4.600"
"LEE H-C","2021","1","7","1.750"
"LEE H-C","2022","3","23","7.667"
"LEE H-C","2023","4","5","2.500"
"LI Y","2020","1","61","12.200"
"LI Y","2021","5","14","3.500"
"LI Y","2022","3","2","0.667"
"LI Y","2023","9","3","1.500"
"LIU J","2019","1","0","0.000"
"LIU J","2020","1","61","12.200"
"LIU J","2021","3","66","16.500"
"LIU J","2022","6","23","7.667"
"LIU J","2023","6","9","4.500"
"LU Y","2021","3","27","6.750"
"LU Y","2022","4","24","8.000"
"LU Y","2023","5","4","2.000"
"WANG X","2014","1","8","0.727"
"WANG X","2015","1","23","2.300"
"WANG X","2016","1","4","0.444"
"WANG X","2018","2","4","0.571"
"WANG X","2021","3","6","1.500"
"WANG X","2022","3","17","5.667"
"WANG X","2023","3","1","0.500"
"WANG Y","2018","1","5","0.714"
"WANG Y","2020","1","11","2.200"
"WANG Y","2021","7","90","22.500"
"WANG Y","2022","8","38","12.667"
"WANG Y","2023","3","8","4.000"
"ZHANG J","2020","4","89","17.800"
"ZHANG J","2021","2","24","6.000"
"ZHANG J","2022","4","18","6.000"
"ZHANG J","2023","9","23","11.500"
"ZHANG X","2018","1","2","0.286"
"ZHANG X","2020","1","16","3.200"
"ZHANG X","2021","2","34","8.500"
"ZHANG X","2022","3","19","6.333"
"ZHANG X","2023","5","7","3.500"